fold,best_reps,best_bandwidth,best_C,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test
89,1,0.2,10.0,0.625,0.6190476190476191,0.23809523809523808,0.08210667283637864,0.0965135062202796,26.42965717485281,16
90,2,0.2,10.0,0.625,0.625,0.2581988897471611,0.03963636132902828,0.07997808271655316,10.454815391579455,16
91,2,0.2,10.0,0.625,0.625,0.2886751345948129,0.04131590497713034,0.08278837126489369,10.957215019744517,16
92,2,0.1,1.0,0.5,0.5,0.0,0.016872790318797966,0.0586002127085239,2.9535872881380416,16
93,1,0.2,1.0,0.5625,0.5634920634920635,0.1259881576697424,0.08955647011936595,0.10516754182409171,25.792078775243603,16
94,1,0.2,10.0,0.5625,0.5793650793650793,0.16265001215808886,0.08599479944331206,0.10244763072217988,25.502915790244742,16
95,2,0.2,10.0,0.6875,0.6875,0.3779644730092272,0.041066864441396865,0.08303244997397831,10.2659968306529,16
96,1,0.5,1.0,0.625,0.625,0.2581988897471611,0.11813052752995275,0.11961841668714204,54.43222442940707,16
97,1,0.1,10.0,0.4375,0.4375,-0.1259881576697424,0.0260787612281554,0.07106589855804768,3.6826170962593934,16
98,2,0.2,10.0,0.5625,0.5793650793650793,0.16265001215808886,0.043601747986838996,0.09124634244977374,10.8667662650167,16
99,2,0.2,10.0,0.75,0.7301587301587301,0.49265895172303803,0.03317529987389832,0.07182259102683251,10.607794822364756,16
