fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C,best_degree,best_gamma,best_coef0
90,mean_z,0.7870421245421246,0.9411764705882353,0.9,0.8593378488473195,0.1464859683436752,0.2602684158733843,5.78798678986259,63,17,0.1,2,scale,1.0
91,mean_z,0.797275641025641,0.8947368421052632,0.8869047619047619,0.7738095238095238,0.19373871378665689,0.322699625887232,5.741771004672327,61,19,1.0,2,scale,1.0
92,mean_z,0.9574652777777778,0.5,0.5,0.0,0.22719182469952368,0.3674278079949766,5.907666430707872,70,10,1.0,2,scale,1.0
93,mean_z,0.8366026334776335,0.75,0.7571428571428571,0.50709255283711,0.22689596847894086,0.30625367750894084,6.753236739204762,68,12,0.1,3,scale,1.0
94,mean_z,0.6631944444444444,0.8636363636363636,0.8636363636363636,0.7302967433402214,0.154818824234636,0.22910667272021498,7.15577727842913,58,22,1.0,3,scale,1.0
95,mean_z,0.823051948051948,0.875,0.875,0.7745966692414834,0.19144610203366136,0.3191449897966959,5.872659184547418,64,16,1.0,2,scale,1.0
96,mean_z,0.8381809163059164,0.8333333333333334,0.85,0.7135060680126758,0.25214698624125054,0.23268433066915176,8.377389506517364,62,18,1.0,3,0.1,0.0
97,mean_z,0.8595734126984126,0.9,0.9375,0.7637626158259734,0.19096910053214688,0.1785039771883547,6.453020659596986,70,10,0.1,3,0.1,0.0
98,mean_z,0.884077380952381,0.7037037037037037,0.7357954545454546,0.4798409384402383,0.2758646376385052,0.43309755799615873,5.94657332938069,53,27,1.0,2,scale,1.0
99,mean_z,0.8413194444444444,1.0,1.0,1.0,0.16444848017296979,0.28167557909614754,5.5928152752880465,71,9,1.0,2,scale,1.0
