fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C,best_gamma
83,mean_z,0.8727678571428572,0.6875,0.7063492063492063,0.42289003161103106,0.036839093512350735,0.38826698785412556,1.397883674770468,64,16,10,0.01
84,mean_z,0.8298611111111112,0.8125,0.7857142857142857,0.6546536707079771,0.1618651771861561,0.26368777868679355,8.64496812638771,64,16,1,scale
85,mean_z,0.7874503968253967,0.8125,0.8125,0.629940788348712,0.1650489905869279,0.26431127485491546,7.7530938794410975,64,16,1,scale
86,mean_z,0.8444940476190477,0.8125,0.8125,0.674199862463242,0.03905144309443604,0.39918632558910155,1.376796190628036,64,16,10,0.01
87,mean_z,0.8087797619047619,0.6875,0.6875,0.3779644730092272,0.033577848375233844,0.35380120136602117,1.3651673598612553,64,16,1,0.01
88,mean_z,0.8092757936507937,0.9375,0.9444444444444444,0.8819171036881969,0.02916356435852937,0.30390077640291274,1.408511228939018,64,16,1,0.01
89,mean_z,0.8467261904761905,0.75,0.7619047619047619,0.5238095238095238,0.16576257398393765,0.2816520931514735,8.000701722128998,64,16,1,scale
90,mean_z,0.8578869047619047,0.875,0.875,0.7745966692414834,0.03770281783484566,0.3613223807914287,1.394321543750113,64,16,10,0.01
91,mean_z,0.8249007936507937,0.875,0.875,0.75,0.1706666844614738,0.2758235376871855,8.054908338941313,64,16,1,scale
92,mean_z,0.7876984126984127,0.875,0.875,0.75,0.028357817705498996,0.28194712634355584,1.3839174113906865,64,16,10,0.01
93,mean_z,0.8745039682539683,0.6875,0.7063492063492063,0.42289003161103106,0.038252715376025176,0.38166864088583935,1.4195822570946588,64,16,10,0.01
94,mean_z,0.8432539682539683,0.9375,0.9444444444444444,0.8819171036881969,0.031048424414421953,0.322093724335999,1.4113568555860803,64,16,10,0.01
95,mean_z,0.8306051587301588,0.875,0.875,0.7745966692414834,0.15239813354207787,0.24233353967818158,8.646802163888205,64,16,1,scale
96,mean_z,0.8422619047619049,0.875,0.875,0.7745966692414834,0.03578685767441602,0.3535801758765613,1.385380288311738,64,16,10,0.01
97,mean_z,0.8087797619047619,0.9375,0.9375,0.8819171036881969,0.032713092378597,0.3132254588667837,1.3875480321185452,64,16,10,0.01
98,mean_z,0.890625,0.8125,0.8333333333333333,0.6831300510639732,0.18176908852845294,0.3152204207542698,7.643824194266528,64,16,1,scale
99,mean_z,0.8628472222222222,0.8125,0.8015873015873016,0.6180700462007377,0.03423342941167966,0.3883585764139781,1.3745580383065665,64,16,10,0.01
