fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C
64,mean_z,0.8432539682539683,0.8125,0.8174603174603174,0.629940788348712,0.2640089143959516,0.2958195763424847,3.6358544210029375,64,16,10.0
65,mean_z,0.8462301587301587,0.875,0.875,0.75,0.35553840460980085,0.38198061558218477,3.7586692902105368,64,16,1.0
66,mean_z,0.8092757936507936,0.8125,0.8125,0.629940788348712,0.2638818252432741,0.2809876603684796,3.922926599172629,64,16,1.0
67,mean_z,0.8449900793650793,0.8125,0.8125,0.674199862463242,0.3288601398641742,0.367903626027384,3.6461068276410353,64,16,1.0
68,mean_z,0.8097718253968254,0.9375,0.9285714285714286,0.8783100656536799,0.29228408049409516,0.31383672794971496,3.671848181070633,64,16,10.0
69,mean_z,0.8454861111111112,0.75,0.7619047619047619,0.5238095238095238,0.3121150108234812,0.3376897512841873,3.844217884100055,64,16,0.1
70,mean_z,0.8139880952380952,0.8125,0.8125,0.629940788348712,0.3170624615070034,0.3506892239589009,3.7500326911086113,64,16,10.0
71,mean_z,0.8382936507936508,0.875,0.875,0.7745966692414834,0.31471538972405627,0.34356289221314823,3.7603178662300643,64,16,1.0
72,mean_z,0.8663194444444444,0.8125,0.8125,0.629940788348712,0.3088786273808746,0.33232602378465964,3.752121644219689,64,16,1.0
73,mean_z,0.8784722222222222,0.875,0.8571428571428572,0.7644707871564383,0.3081872662617528,0.33113947952151823,3.9528123840819696,64,16,0.1
74,mean_z,0.8276289682539683,0.8125,0.8333333333333333,0.6831300510639732,0.2988298284273278,0.3284209954367059,3.807301810373274,64,16,1.0
75,mean_z,0.8365575396825398,0.8125,0.8125,0.629940788348712,0.3718841530689819,0.39098220901112885,3.5055133194328802,64,16,10.0
76,mean_z,0.8779761904761905,0.625,0.625,0.2581988897471611,0.3582023991182619,0.3879757547223232,3.978902753554157,64,16,0.1
77,mean_z,0.8249007936507937,0.9375,0.9375,0.8819171036881969,0.294712471937215,0.32106941780593706,3.7417091914987157,64,16,1.0
78,mean_z,0.8311011904761905,0.9375,0.9444444444444444,0.8819171036881969,0.2650525474600353,0.2841765557635881,3.9533399626943586,64,16,1.0
79,mean_z,0.8177083333333333,0.8125,0.8333333333333333,0.6831300510639732,0.29922018256143923,0.3191582897425771,3.625688852988801,64,16,0.1
80,mean_z,0.7998511904761905,0.875,0.875,0.7745966692414834,0.3367502916136453,0.3485303645148735,3.6552657682272347,64,16,1.0
81,mean_z,0.8449900793650794,0.8125,0.8125,0.629940788348712,0.3237860694704857,0.3421383648887386,3.874574469879808,64,16,10.0
82,kyte_doolittle,0.7542162698412698,0.4375,0.4375,-0.1259881576697424,0.03695724726547152,0.08649698757890903,7.1033594543262435,64,16,10.0
83,mean_z,0.8727678571428572,0.8125,0.8174603174603174,0.629940788348712,0.35159662270283715,0.3863056996597334,3.655854833230077,64,16,1.0
84,mean_z,0.8120039682539683,0.8125,0.8015873015873016,0.6180700462007377,0.30974704945571313,0.33202085621425115,3.8941368602735174,64,16,1.0
85,mean_z,0.8231646825396826,0.8125,0.8125,0.629940788348712,0.31361836541661714,0.3314481034528123,3.743928105286035,64,16,1.0
86,mean_z,0.8444940476190477,0.6875,0.6875,0.48038446141526137,0.37000483477327145,0.40084045114926864,3.720207567124965,64,16,0.1
87,mean_z,0.8266369047619047,0.8125,0.8125,0.629940788348712,0.3361515062290987,0.3520819539116652,3.8672757889025493,64,16,10.0
88,mean_z,0.8092757936507937,0.875,0.8888888888888888,0.7777777777777778,0.2637779555094135,0.3061328215163598,3.700916720004884,64,16,1.0
89,mean_z,0.8467261904761905,0.8125,0.8174603174603174,0.629940788348712,0.289929212988297,0.31155236839453077,3.7500519839633246,64,16,0.1
90,mean_z,0.8578869047619047,0.8125,0.8125,0.674199862463242,0.3131659017235419,0.3617631533539862,3.5447997395399087,64,16,0.1
91,mean_z,0.8092757936507937,0.875,0.875,0.75,0.31220735401158795,0.3316105310790578,3.7560693825689757,64,16,1.0
92,mean_z,0.8328373015873016,0.875,0.875,0.75,0.26693706029839276,0.28283405203966633,3.925565084333003,64,16,1.0
93,mean_z,0.8588789682539683,0.6875,0.7063492063492063,0.42289003161103106,0.35979443855811344,0.3805683726106695,3.6510489286696535,64,16,1.0
94,mean_z,0.8410218253968254,0.9375,0.9444444444444444,0.8819171036881969,0.303528160563305,0.32525920466759306,3.8158332586885053,64,16,0.1
95,mean_z,0.8271329365079365,0.875,0.875,0.7745966692414834,0.25068864409314184,0.27657712235932197,3.739584073813868,64,16,1.0
96,mean_z,0.8266369047619049,0.9375,0.9375,0.8819171036881969,0.34256934548618617,0.35567347464440635,3.724353908887634,64,16,1.0
97,mean_z,0.8249007936507937,0.875,0.875,0.75,0.28558609257025913,0.3143447611629698,3.9127731115899715,64,16,10.0
98,mean_z,0.8566468253968254,0.875,0.8888888888888888,0.7777777777777778,0.32470766148848373,0.356082558121078,3.7477829221128602,64,16,10.0
99,mean_z,0.8784722222222222,0.8125,0.8015873015873016,0.6180700462007377,0.36290326178992716,0.3886671127533457,3.758912917339638,64,16,10.0
